08/13/2024	10:22:34	(analyzed:  8/14/2024)
MJD	timer	SDR:fb_Al_TiS	SDR:fb_Yb_TiS	SDR:frep_TiS	fo_TiS	fb_Si_TiS
60535.684031	145641.000000	43718652.552801	142219736.862752	379043.157204	10000000.000080	640000000.002000
60535.684043	146696.000000	43718652.536823995	142219736.852701	379043.156929	10000000.000020	639999999.999000
60535.684055	147749.000000	43718652.52403	142219736.84189	379043.157463	10000000.000110	640000000.001000
60535.684067	148804.000000	43718652.557287	142219736.85400102	379043.157436	10000000.000030	640000000.004000
60535.684080	149858.000000	43718652.539744	142219736.859563	379043.157247	10000000.000050	640000000.003000
60535.684092	150912.000000	43718652.548819	142219736.845946	379043.156809	10000000.000010	639999999.999000
60535.684104	151968.000000	43718652.560256	142219736.87656102	379043.157305	10000000.000030	640000000.005000
60535.684116	153023.000000	43718652.515428	142219736.839523	379043.157309	10000000.000100	640000000.001000
60535.684128	154075.000000	43718652.534736	142219736.851	379043.157337	10000000.000060	640000000.002000
60535.684141	155131.000000	43718652.54254	142219736.82849	379043.157305	10000000.000020	640000000.003000
60535.684153	156186.000000	43718652.56442	142219736.88246801	379043.157168	10000000.000020	639999999.999000
60535.684165	157239.000000	43718652.548649	142219736.85446802	379043.157298	10000000.000000	639999999.998000
60535.684177	158295.000000	43718652.543069996	142219736.837996	379043.157185	10000000.000060	640000000.001000
60535.684190	159350.000000	43718652.548135	142219736.860268	379043.157457	10000000.000030	639999999.998000
60535.684202	160403.000000	43718652.541246995	142219736.856032	379043.157073	10000000.000130	640000000.001000
60535.684214	161458.000000	43718652.56970099	142219736.85251	379043.156921	9999999.999980	640000000.007000
60535.684226	162513.000000	43718652.562796	142219736.86816	379043.157304	10000000.000100	639999999.998000
60535.684238	163566.000000	43718652.516900994	142219736.840256	379043.157509	9999999.999980	639999999.998000
60535.684251	164621.000000	43718652.612064995	142219736.86321	379043.156930	9999999.999900	640000000.002000
60535.684263	165677.000000	43718652.549553	142219736.850547	379043.157232	10000000.000020	640000000.001000
60535.684275	166731.000000	43718652.572960995	142219736.850485	379043.157507	9999999.999940	640000000.004000
60535.684287	167785.000000	43718652.562101	142219736.85574	379043.157028	9999999.999960	640000000.000000
60535.684299	168840.000000	43718652.565133	142219736.84869	379043.157203	10000000.000040	640000000.003000
60535.684312	169894.000000	43718652.57196999	142219736.848388	379043.157400	9999999.999970	640000000.000000
