01/24/2025	11:15:08	(analyzed:  1/24/2025)
MJD	timer	SDR:fb_Al_TiS	SDR:fb_Yb_TiS	SDR:frep_TiS	fo_TiS	fb_Si_TiS
60699.763466	254811.000000	NaN	nan	NaN	NaN	NaN
60699.763478	255868.000000	NaN	nan	NaN	NaN	NaN
60699.763490	256926.000000	NaN	nan	NaN	NaN	NaN
60699.763502	257983.000000	NaN	nan	NaN	NaN	NaN
60699.763515	259040.000000	NaN	nan	NaN	NaN	NaN
60699.763527	260096.000000	NaN	nan	NaN	NaN	NaN
60699.763539	261152.000000	NaN	nan	NaN	NaN	NaN
60699.763551	262208.000000	NaN	nan	NaN	NaN	NaN
60699.763564	263264.000000	NaN	nan	NaN	NaN	NaN
60699.763576	264321.000000	NaN	nan	NaN	NaN	NaN
60699.763588	265378.000000	NaN	nan	NaN	NaN	NaN
60699.763600	266435.000000	NaN	nan	NaN	NaN	NaN
60699.763612	267492.000000	NaN	nan	NaN	NaN	NaN
60699.763625	268549.000000	NaN	nan	NaN	NaN	NaN
60699.763637	269605.000000	NaN	nan	NaN	NaN	NaN
60699.763649	270659.000000	NaN	nan	NaN	NaN	NaN
60699.763661	271716.000000	NaN	nan	NaN	NaN	NaN
60699.763674	272773.000000	NaN	nan	NaN	NaN	NaN
60699.763686	273829.000000	NaN	nan	NaN	NaN	NaN
60699.763698	274887.000000	NaN	nan	NaN	NaN	NaN
60699.763710	275943.000000	NaN	nan	NaN	NaN	NaN
60699.763723	277001.000000	NaN	nan	NaN	NaN	NaN
60699.763735	278057.000000	NaN	nan	NaN	NaN	NaN
60699.763747	279112.000000	NaN	nan	NaN	NaN	NaN
60699.763759	280169.000000	NaN	nan	NaN	NaN	NaN
60699.763771	281226.000000	NaN	nan	NaN	NaN	NaN
60699.763784	282283.000000	NaN	nan	NaN	NaN	NaN
60699.763796	283339.000000	NaN	nan	NaN	NaN	NaN
60699.763808	284393.000000	NaN	nan	NaN	NaN	NaN
60699.763820	285451.000000	NaN	nan	NaN	NaN	NaN
60699.763833	286506.000000	NaN	nan	NaN	NaN	NaN
60699.763845	287564.000000	NaN	nan	NaN	NaN	NaN
60699.763857	288621.000000	NaN	nan	NaN	NaN	NaN
60699.763869	289677.000000	NaN	nan	NaN	NaN	NaN
60699.763882	290736.000000	NaN	nan	NaN	NaN	NaN
60699.763894	291791.000000	NaN	nan	NaN	NaN	NaN
60699.763906	292847.000000	NaN	nan	NaN	NaN	NaN
60699.763918	293905.000000	NaN	nan	NaN	NaN	NaN
60699.763930	294960.000000	NaN	nan	NaN	NaN	NaN
60699.763943	296017.000000	NaN	nan	NaN	NaN	NaN
60699.763955	297074.000000	NaN	nan	NaN	NaN	NaN
60699.763967	298130.000000	NaN	nan	NaN	NaN	NaN
60699.763979	299187.000000	NaN	nan	NaN	NaN	NaN
60699.763992	300243.000000	NaN	nan	NaN	NaN	NaN
60699.764004	301299.000000	NaN	nan	NaN	NaN	NaN
60699.764016	302356.000000	NaN	nan	NaN	NaN	NaN
60699.764028	303412.000000	NaN	nan	NaN	NaN	NaN
60699.764040	304470.000000	NaN	nan	NaN	NaN	NaN
60699.764053	305526.000000	NaN	nan	NaN	NaN	NaN
60699.764065	306582.000000	NaN	nan	NaN	NaN	NaN
60699.764077	307639.000000	NaN	nan	NaN	NaN	NaN
60699.764089	308696.000000	NaN	nan	NaN	NaN	NaN
60699.764102	309752.000000	NaN	nan	NaN	NaN	NaN
60699.764114	310808.000000	NaN	nan	NaN	NaN	NaN
60699.764126	311864.000000	NaN	nan	NaN	NaN	NaN
60699.764138	312922.000000	NaN	nan	NaN	NaN	NaN
60699.764151	313980.000000	NaN	nan	NaN	NaN	NaN
60699.764163	315036.000000	NaN	nan	NaN	NaN	NaN
60699.764175	316093.000000	NaN	nan	NaN	NaN	NaN
60699.764187	317149.000000	NaN	nan	NaN	NaN	NaN
60699.764199	318205.000000	NaN	nan	NaN	NaN	NaN
60699.764212	319262.000000	NaN	nan	NaN	NaN	NaN
60699.764224	320318.000000	NaN	nan	NaN	NaN	NaN
60699.764236	321376.000000	NaN	nan	NaN	NaN	NaN
60699.764248	322434.000000	NaN	nan	NaN	NaN	NaN
