"","x"
"549",3.0925598732864
"550",0.421782564798477
"551",-0.000641181533908464
"552",-4.68392420848556
"553",-6.09433720276015
"554",-3.12230692679928
"555",-1.75401044878594
"556",-0.557953542353829
"557",-0.84715386612207
"558",0.853379300671686
"559",-4.2028454726073
"560",3.2606372490212
"561",-0.661970390969511
"562",-0.320593806222693
"563",-2.70462796963178
"564",-6.54308324670385
"565",-0.753845799530455
"566",1.37405362087582
"567",-1.53499159905339
"568",1.62153585991923
"569",-0.583560559323709
"570",0.0925480216646372
"571",-0.428974146650242
"572",2.62267997931988
"573",-1.64711721376764
"574",-0.464578041241555
"575",-0.303432280422633
"576",-3.24994670325724
"577",2.87331454390913
"578",0.285875418002465
"579",4.0237376685809
"580",0.839185729947922
"581",-5.1194934635051
"582",-1.82726887971245
"583",0.808878011331135
"584",-1.58869624318324
"585",1.0679043129358
"586",1.05186350182387
"587",1.19686236625911
"588",3.0490822414865
"589",0.626178106218724
"590",2.84813022071523
"591",-0.508347102985062
"592",-2.16274952182206
"593",-0.658437021878929
"594",1.41538534883344
"595",0.565131068940743
"596",1.0679193232364
"597",-2.73532788014688
"598",-1.58939700883801
"599",-1.47192335106444
"600",0.789202993371764
"601",0.535893382007618
"602",-0.833736737880746
"603",-1.85312873979434
"604",-1.53702944070544
"605",2.65358401785809
"606",0.459825835726735
"607",-2.09910234691228
"608",-1.95468203588174
"609",1.64845923255568
"610",-0.390237613629675
"611",-0.460124292148276
"612",1.65153297567608
"613",-0.211360167434402
"614",1.40208980450156
"615",-1.04889324701626
"616",-0.35445265585376
"617",-5.74348545397306
"618",1.99769757769457
"619",2.56819154493651
"620",0.366987865771044
"621",-1.86036712697013
"622",-5.15597768655575
"623",-0.771365277527618
