03/13/2025	10:18:34	(analyzed:  3/14/2025, filtered by KK: 3/18/2025)
MJD	timer	SDR:frep_ErYb	fo_ErYb	fb_Si_ErYb	fb_Yb_ErYb	fb_Al_ErYb
60747.729675	4328898.000000	113927.227995	105000000.000700	99999999.999600	28854968.999660	22737007.999810
60747.729687	4329955.000000	113927.228292	105000000.001500	100000000.000000	28854969.000040	22737008.000130
60747.729699	4331011.000000	113927.228117	105000000.000200	100000000.000700	28854968.999920	22737007.999960
60747.729711	4332069.000000	113927.227989	105000000.000700	99999999.998900	28854969.000100	22737008.000170
60747.729724	4333124.000000	113927.228355	105000000.000600	100000000.000300	28854968.999870	22737008.000060
60747.729736	4334182.000000	113927.228340	104999999.998600	99999999.999100	28854969.000040	22737008.000030
60747.729748	4335239.000000	113927.228356	105000000.001300	99999999.999400	28854968.999700	22737008.000190
60747.729760	4336298.000000	113927.227935	104999999.999400	100000000.001000	28854969.000170	22737008.000120
60747.729773	4337355.000000	113927.227944	105000000.001500	99999999.999300	28854968.999790	22737007.999980
60747.729785	4338410.000000	113927.228589	105000000.000700	100000000.000500	28854968.999880	22737007.999960
60747.729797	4339468.000000	113927.228157	104999999.999500	99999999.999200	28854969.000180	22737007.999830
60747.729809	4340526.000000	113927.228167	105000000.000900	99999999.999900	28854968.999940	22737008.000100
60747.729821	4341581.000000	113927.228438	104999999.999400	100000000.000700	28854969.000200	22737008.000090
60747.729834	4342639.000000	113927.228019	105000000.001500	99999999.998800	28854969.000160	22737007.999920
60747.729846	4343696.000000	113927.228501	104999999.999500	100000000.000100	28854968.999900	22737008.000080
60747.729858	4344754.000000	113927.228118	105000000.000500	99999999.999000	28854969.000120	22737008.000040
60747.729870	4345811.000000	113927.228213	105000000.001400	100000000.000400	28854968.999950	22737008.000010
60747.729883	4346868.000000	113927.228028	105000000.000400	100000000.000700	28854969.000290	22737008.000010
60747.729895	4347926.000000	113927.228252	104999999.999100	99999999.999200	28854968.999810	22737007.999920
60747.729907	4348981.000000	113927.228436	104999999.999900	100000000.001100	28854968.999990	22737008.000070
60747.729919	4350035.000000	113927.228137	105000000.000200	99999999.998800	28854968.999920	22737007.999940
60747.729932	4351093.000000	113927.228229	105000000.000400	99999999.999200	28854968.999850	22737008.000150
60747.729944	4352150.000000	113927.228045	104999999.999600	100000000.000600	28854969.000020	22737007.999960
60747.729956	4353207.000000	113927.228229	105000000.001200	100000000.000100	28854968.999920	22737008.000000
60747.729968	4354263.000000	113927.228148	104999999.999800	100000000.000600	28854969.000050	22737007.999940
60747.729980	4355320.000000	113927.228176	105000000.001400	99999999.998600	28854968.999910	22737007.999950
60747.729993	4356378.000000	113927.228207	105000000.001300	100000000.000400	28854969.000150	22737008.000130
60747.730005	4357433.000000	113927.228390	104999999.999700	100000000.000700	28854968.999870	22737007.999820
