MJD,shift,IS_GOOD
60507.71435501,NaN,False
60507.71436569,NaN,False
60507.71437635,NaN,False
60507.71438702,NaN,False
60507.7143977,63000002.06286866962909698486328125,True
60507.71440837,63000002.066407501697540283203125,True
60507.71441904,63000002.069240204989910125732421875,True
60507.71442971,63000002.07241098582744598388671875,True
60507.71444037,63000002.070471502840518951416015625,True
60507.71445104,63000002.0650427341461181640625,True
60507.71446173,63000002.06100524961948394775390625,True
60507.71447238,63000002.055617034435272216796875,True
60507.71448306,63000002.0551241934299468994140625,True
60507.71449372,63000002.05658112466335296630859375,True
60507.71450441,63000002.06064628064632415771484375,True
60507.71451506,63000002.074525177478790283203125,True
60507.71452574,63000002.07885541021823883056640625,True
60507.7145364,63000002.08305867016315460205078125,True
60507.71454708,63000002.07822954654693603515625,True
60507.71455775,63000002.062844209372997283935546875,True
60507.71456841,63000002.05138082802295684814453125,True
60507.71457909,63000002.0456665456295013427734375,True
60507.71458977,63000002.037869341671466827392578125,True
60507.71460043,63000002.039009034633636474609375,True
60507.7146111,63000002.044922076165676116943359375,True
60507.71462177,63000002.050930224359035491943359375,True
60507.71463245,63000002.058659709990024566650390625,True
60507.71464311,63000002.06646318733692169189453125,True
60507.71465378,63000002.074919022619724273681640625,True
60507.71466446,63000002.081927515566349029541015625,True
60507.71467512,63000002.080754317343235015869140625,True
60507.71468581,63000002.058180488646030426025390625,True
60507.71469646,63000002.03200133144855499267578125,True
60507.71470713,63000002.008951775729656219482421875,True
60507.7147178,63000001.988979876041412353515625,True
60507.71472847,63000001.96896465122699737548828125,True
60507.71473916,63000001.949976332485675811767578125,True
60507.71474982,63000001.93629433214664459228515625,True
60507.71476049,63000001.940224111080169677734375,True
60507.71477117,63000001.97215168178081512451171875,True
60507.71478183,63000002.001399450004100799560546875,True
60507.7147925,63000002.029671795666217803955078125,True
60507.71480318,63000002.048798941075801849365234375,True
60507.71481383,63000002.06558384001255035400390625,True
60507.7148245,63000002.084050357341766357421875,True
60507.71483518,63000002.0898773968219757080078125,True
60507.71484585,63000002.073150716722011566162109375,True
60507.71485652,63000002.03304986655712127685546875,True
