fo_ErYb,SDR:fb_Yb_ErYb,SDR:frep_ErYb,fb_Si_ErYb,MJD,nuSi,nuSr,nuYb
105000000.00100000,28855436.79981800,113927.22964100,99999999.99959999,60507.710691,194397939719188.69901600,429228169936158.2607818751223,518295773594833.86328100
105000000.00110000,28855436.80002000,113927.22969900,100000000.00070000,60507.710703,194397939719199.97282400,429228169936183.1532337180343,518295773594863.92062300
104999999.99869999,28855436.80003100,113927.22951700,100000000.00110000,60507.710716,194397939719164.59639200,429228169936105.0424365557932,518295773594769.60146700
105000000.00170000,28855436.80001500,113927.22963400,99999999.99920000,60507.710728,194397939719187.33838400,429228169936155.2565204458053,518295773594830.23522800
105000000.00100000,28855436.79998500,113927.22961800,100000000.00110000,60507.71074,194397939719184.22836800,429228169936148.3896371787951,518295773594821.94349600
105000000.00030001,28855436.79992100,113927.22939600,99999999.99879999,60507.710752,194397939719141.07689600,429228169936053.1116318490284,518295773594706.89501000
104999999.99879999,28855436.79992900,113927.22940700,100000000.00020000,60507.710764,194397939719143.21503200,429228169936057.8326140950979,518295773594712.59560100
105000000.00170000,28855436.80001500,113927.22953500,100000000.00049999,60507.710777,194397939719168.09516000,429228169936112.7676802311796,518295773594778.92976500
104999999.99940000,28855436.79998500,113927.22992700,99999999.99940000,60507.710789,194397939719244.29055200,429228169936281.0063202729298,518295773594982.07872900
105000000.00170000,28855436.79982300,113927.22966200,100000000.00040001,60507.710801,194397939719192.78091200,429228169936167.2735661630732,518295773594844.74624800
105000000.00120001,28855436.80004400,113927.22958500,99999999.99980000,60507.710813,194397939719177.81396000,429228169936134.2266904405866,518295773594804.84155700
105000000.00070000,28855436.80018300,113927.22920100,100000000.00000000,60507.710825,194397939719103.17357600,429228169935969.4214920323415,518295773594605.83827100
105000000.00049999,28855436.80023900,113927.22971300,100000000.00030001,60507.710838,194397939719202.69408800,429228169936189.1617565766683,518295773594871.17550300
104999999.99920000,28855436.79970100,113927.22969400,99999999.99850000,60507.71085,194397939719199.00094400,429228169936181.0073326970936,518295773594861.33007600
105000000.00150000,28855436.80052600,113927.22959900,100000000.00060000,60507.710862,194397939719180.53522400,429228169936140.2352132992205,518295773594812.09591100
105000000.00080000,28855436.79955500,113927.22953700,100000000.00010000,60507.710874,194397939719168.48391200,429228169936113.6260406395559,518295773594779.96715900
105000000.00080000,28855436.79979600,113927.22949500,100000000.00010000,60507.710887,194397939719160.32012000,429228169936095.6004720636541,518295773594758.20072300
105000000.00030001,28855436.80017500,113927.22951000,100000000.00120001,60507.710899,194397939719163.23576000,429228169936102.0381751264762,518295773594765.97352000
105000000.00049999,28855436.79990300,113927.22964100,99999999.99789999,60507.710911,194397939719188.69901600,429228169936158.2607818751223,518295773594833.86311100
105000000.00080000,28855436.79996100,113927.22917600,99999999.99980000,60507.710923,194397939719098.31417600,429228169935958.6919869276380,518295773594592.88279000
105000000.00060000,28855436.80030000,113927.22953700,100000000.00110000,60507.710935,194397939719168.48391200,429228169936113.6260406395559,518295773594779.96566900
