Al/Sr = 2.611701431781463025
offset = ( 2024ratio - 2020ratio ) / 2020ratio
mjd	offset from 2020 ratio
60426.742225	-3.341598671386823e-17
60426.742237	1.4338423610870645e-17
60426.742249	6.18135365988912e-16
60426.742262	5.906952820329459e-16
60426.742274	9.146917267769427e-16
60426.742286	7.798147411807286e-16
60426.742298	3.4084947126739113e-16
60426.74231	9.186540547015941e-16
60426.742323	1.3326165271793694e-16
60426.742335	-6.554271137594701e-16
60426.742347	-1.1801325630566574e-15
60426.742359	-1.1342212399127211e-15
60426.742371	-7.917662441673119e-16
60426.742384	1.1326601500299396e-15
60426.742396	1.1333767892453662e-16
60426.742408	-5.896416582513321e-16
60426.74242	-1.9104354990767953e-15
60426.742432	-1.8832378413041194e-15
60426.742445	-1.6270114693583253e-15
60426.742457	-4.660610672762581e-16
60426.742469	7.671433187335516e-16
60426.742481	1.1043210003100136e-15
60426.742494	6.978458667669426e-16
60426.742506	3.1291945856021743e-16
60426.742518	3.455547836286964e-16
60426.74253	4.730118106510923e-16
60426.742542	5.367335896331109e-16
60426.742555	3.481776828034031e-16
60426.742567	3.4799352275197185e-16
60426.742579	-2.595000812450105e-16
60426.742591	9.572504942744139e-16
60426.742603	1.1391388201107147e-15
60426.742616	6.316992575505276e-17
60426.742628	-5.227772565310773e-16
60426.74264	4.974865145185245e-17
60426.742652	2.368335119187379e-16
60426.742664	5.710100294782803e-16
60426.742677	1.4379997330316034e-16
60426.742689	-1.2896996384699487e-16
60426.742701	-1.4834256637763268e-15
60426.742713	-1.7921626128605093e-15
60426.742725	-1.5587905980547218e-15
60426.742738	-3.697059416869801e-16
60426.74275	4.3055503524458464e-16
60426.742762	1.2554809092394636e-15
60426.742774	1.5914543429759054e-15
60426.742786	1.2853037811501595e-15
60426.742799	1.021523821612026e-15
60426.742811	8.169405803199528e-16
60426.742823	-6.651490315411213e-16
60426.742835	-6.705775428810754e-16
60426.742847	-1.9996729045661458e-16
60426.74286	4.600138975596848e-16
60426.742872	7.645285840246374e-16
60426.742884	6.395564710429606e-16
60426.742896	1.5412064064361284e-16
60426.742909	-5.361259549430623e-17
60426.742921	3.353916850692662e-16
60426.742933	-1.1539446612564325e-16
60426.742945	1.0163610275843784e-15
60426.742957	1.4972953989440607e-15
60426.74297	1.2448404814314333e-15
60426.742982	7.448053691202967e-16
60426.742994	8.448423334324033e-16
60426.743006	1.92421136154223e-16
60426.743018	6.750254521400125e-16
60426.743031	4.0358837307908594e-16
60426.743043	3.647251909879513e-16
60426.743055	5.770479839596406e-16
60426.743067	3.3327382130210993e-16
60426.743079	-4.6845904603860385e-17
60426.743092	2.2925482050587653e-16
60426.743104	9.052875462227946e-16
60426.743116	1.1061728956817985e-15
60426.743128	3.738181976980641e-16
60426.743141	2.0403395787569832e-16
60426.743153	6.125144148164855e-16
60426.743165	9.541000653372182e-16
60426.743177	3.01499132721649e-16
60426.743189	-2.936545142699812e-16
60426.743202	-1.4535397406351202e-15
60426.743214	-1.225453650266562e-15
60426.743226	-1.1383823811395677e-15
60426.743238	-2.0632119102073106e-15
60426.74325	-1.6789527649150185e-15
60426.743263	-7.738564654357919e-16
60426.743275	6.949834112611075e-16
60426.743287	3.7359298485794294e-16
60426.743299	1.6466876405073941e-16
60426.743311	5.395677329804043e-16
60426.743324	5.27145899155827e-16
60426.743336	4.44730487845515e-16
60426.743348	-2.398166881226448e-16
60426.743361	-4.704994145574377e-16
60426.743373	-2.7183439188748962e-17
60426.743386	-3.2664249322216687e-16
60426.743398	-5.054712721268149e-16
60426.74341	-4.1807225289654174e-16
60426.743422	-1.020025163013317e-15
60426.743434	-4.568344793191641e-16
60426.743447	-1.8797088199325174e-16
60426.743459	-2.346375462561974e-16
60426.743471	2.8847652930376876e-16
60426.743483	3.186120571681903e-16
60426.743495	-2.2183507162984133e-16
60426.743508	-1.0544613899956842e-16
60426.74352	-4.460391862987178e-16
60426.743532	-6.644936802796134e-16
60426.743544	-4.569511099049934e-16
60426.743556	-7.409248826720096e-16
60426.743569	-4.737395350880712e-16
60426.743581	-1.368397775882923e-16
60426.743593	-4.168273482131675e-16
60426.743605	6.477858213432894e-17
60426.743617	4.853663477767203e-16
60426.74363	4.980031186090922e-16
60426.743642	5.334656769440336e-16
60426.743654	5.676064679601719e-16
60426.743666	4.727913137420688e-16
60426.743678	3.774519700896987e-16
60426.743691	-1.027159393435012e-15
60426.743703	-4.02962165696382e-16
60426.743715	-8.207802409281563e-16
60426.743727	-1.9501168723692656e-15
60426.743739	-2.985225435243542e-15
60426.743752	-1.878401206117078e-15
60426.743764	-5.44952735300293e-16
60426.743776	-1.29092681124169e-15
60426.743788	-5.668353667716925e-16
60426.743801	-6.339953914232688e-16
60426.743813	-5.748170293596633e-16
60426.743825	-6.886290650050427e-17
60426.743837	9.452792038161958e-17
60426.743849	-5.861469840535336e-16
60426.743865	-1.30437147663786e-16
60426.743877	-3.3198523947876407e-16
60426.743889	-7.4501127642672e-16
60426.743901	-5.593088142443649e-16
60426.743914	-1.1630497091384867e-16
60426.743926	-2.3659050170084823e-16
60426.743938	nan
60426.74395	nan
60426.743962	nan
60426.743975	nan
60426.743987	nan
60426.743999	nan
60426.744011	nan
60426.744023	nan
60426.744036	nan
60426.744048	-1.8889184275994985e-16
60426.74406	1.074330207647863e-15
60426.744072	nan
60426.744084	8.394275847624707e-16
60426.744097	8.285565111008716e-16
60426.744109	nan
60426.744121	nan
60426.744133	2.68664261522185e-16
60426.744145	-7.36093267976913e-18
60426.744158	-5.063869941894125e-17
60426.74417	-3.4184197400428777e-16
60426.744182	-2.0032013496130646e-15
60426.744194	-2.5305468542359088e-15
60426.744206	-1.7906372892046262e-15
60426.744219	-2.0120829693984387e-15
60426.744231	-3.826994408841117e-15
60426.744243	-2.9283648245681078e-15
60426.744255	-7.80697151633147e-16
60426.744268	-2.0376506994905618e-16
60426.74428	-5.317562843765399e-16
60426.744292	-1.2285798677869278e-15
60426.744304	-1.389427902546956e-15
60426.744316	-1.0659918911726349e-15
60426.744329	8.73553587342025e-16
60426.744341	1.0584334153438971e-15
60426.744353	7.231834969465386e-16
60426.744365	5.487932209044068e-16
60426.744378	4.307174533279988e-16
60426.74439	6.928079091245083e-16
60426.744402	-5.769885305622842e-16
60426.744414	-3.1844858011150824e-16
60426.744426	-7.584587120047769e-17
60426.744439	-8.311149486269567e-16
60426.744451	-1.9992377822837244e-15
60426.744463	-1.73684656534184e-15
60426.744475	-7.054692074902424e-17
60426.744487	5.382818832028861e-16
60426.7445	6.334220383248716e-16
60426.744512	1.8924957538732095e-15
60426.744524	2.5881747957867688e-15
60426.744536	2.3000312598134847e-15
60426.744548	1.420959888240982e-15
60426.744561	7.085440266339155e-17
60426.744573	-7.376097050480903e-16
60426.744585	-7.898049608285399e-16
60426.744597	-4.556518369951167e-16
60426.744609	1.0389840056292685e-17
60426.744622	-5.330134493912868e-16
60426.744634	1.5599689189854957e-15
60426.744646	8.472792123614234e-16
60426.744658	1.3773666558245412e-15
60426.74467	1.200994131673188e-15
60426.744683	1.8374799116806386e-15
60426.744695	1.3380465348163168e-15
60426.744707	5.062300566754178e-16
60426.744719	6.285967724921673e-16
60426.744732	5.262146398298553e-16
60426.744744	4.731751141848768e-17
60426.744756	5.594822266691117e-16
60426.744768	4.999357648605273e-16
60426.74478	4.883169259968133e-16
60426.744793	2.9613034150479244e-16
60426.744805	-1.4801234019170465e-16
60426.744817	-8.895679269415063e-17
60426.744829	-1.083516682831833e-15
60426.744841	-7.272895324628897e-16
60426.744854	-8.144981556149784e-16
60426.744866	-8.415261214306769e-16
60426.744878	3.2044282361906236e-17
60426.74489	8.427385916167654e-16
60426.744903	9.493729315432229e-16
60426.744915	6.690043268009366e-16
60426.744927	-8.15752839043614e-17
60426.744939	2.9853478290861577e-16
60426.744951	6.52360375958765e-16
60426.744964	1.2112970078712708e-15
60426.744976	9.273032579145325e-16
60426.744988	7.103916773198932e-16
60426.745	4.110565614426753e-16
60426.745012	5.666149056408781e-16
