08/13/2024	10:22:34	(analyzed:  8/14/2024)
MJD	timer	SDR:frep_ErYb	fo_ErYb	fb_Si_ErYb	fb_Al_ErYb	fb_Yb_ErYb
60535.685288	254246.000000	113927.229373	104999999.999200	100000000.000300	22737007.998790	28855374.100050
60535.685300	255301.000000	113927.229121	105000000.000000	100000000.000300	22737007.998690	28855374.100240
60535.685312	256356.000000	113927.229279	105000000.002000	100000000.000800	22737007.998960	28855374.099600
60535.685324	257410.000000	113927.229454	104999999.999300	99999999.998400	22737007.999540	28855374.100300
60535.685337	258464.000000	113927.229387	105000000.000300	100000000.000300	22737008.000610	28855374.099930
60535.685349	259519.000000	113927.229171	105000000.001200	99999999.999600	22737008.001250	28855374.100200
60535.685361	260571.000000	113927.228948	105000000.000700	100000000.000000	22737008.001260	28855374.099860
60535.685373	261627.000000	113927.229731	105000000.000400	100000000.000300	22737008.001550	28855374.099980
60535.685385	262681.000000	113927.229389	104999999.999300	99999999.998600	22737008.000810	28855374.099900
60535.685398	263736.000000	113927.229319	104999999.999800	100000000.000600	22737007.999530	28855374.100470
60535.685410	264792.000000	113927.229168	105000000.001800	100000000.000900	22737007.998770	28855374.099690
60535.685422	265846.000000	113927.229566	105000000.000500	100000000.000000	22737007.998570	28855374.099960
60535.685434	266900.000000	113927.229311	105000000.000900	100000000.000600	22737007.998670	28855374.099510
60535.685447	267954.000000	113927.229393	105000000.000700	99999999.998400	22737007.999560	28855374.100450
60535.685459	269009.000000	113927.229316	105000000.001200	100000000.000000	22737008.000120	28855374.099490
60535.685471	270064.000000	113927.229236	105000000.000300	100000000.000400	22737008.000940	28855374.099930
60535.685483	271116.000000	113927.229260	104999999.999200	99999999.999300	22737008.001240	28855374.100010
60535.685495	272171.000000	113927.229151	105000000.001500	100000000.000700	22737008.001160	28855374.099850
60535.685507	273223.000000	113927.229486	105000000.000700	99999999.998900	22737008.001200	28855374.100440
60535.685520	274277.000000	113927.229411	105000000.000900	99999999.999800	22737007.999990	28855374.099690
60535.685532	275330.000000	113927.229347	104999999.999800	100000000.000900	22737007.998810	28855374.099860
60535.685544	276384.000000	113927.229111	105000000.000500	99999999.999500	22737007.998760	28855374.100090
60535.685556	277439.000000	113927.229010	105000000.000100	100000000.000100	22737007.998710	28855374.099840
60535.685569	278496.000000	113927.229595	105000000.000200	99999999.998800	22737007.999160	28855374.099740
60535.685581	279549.000000	113927.229673	105000000.001300	99999999.999700	22737007.999820	28855374.100080
60535.685593	280603.000000	113927.229103	104999999.999200	100000000.000400	22737008.000650	28855374.100310
60535.685605	281657.000000	113927.229037	105000000.000500	99999999.998800	22737008.001290	28855374.100210
