"","method","parameter","estimate","ci.lb","ci.ub","inInt","bad.rhat","min.neff","num.Divergent","tree.Depth.Ex","min.bfmi","rsession","simulation","N","mu","tau","num.iters","alpha","nu","tdf","maxtree","adaptDelta","Iteration","lb","ub"
"77","REML","mu",9.57296343597473,8.93963884228983,10.2062880296596,TRUE,0,NA,NA,NA,NA,1,"normal",10,10,1,5000,NA,NA,4,15,0.95,8,0.1,1
"78","PM","mu",9.5960229349418,8.99701034092685,10.1950355289567,TRUE,0,NA,NA,NA,NA,1,"normal",10,10,1,5000,NA,NA,4,15,0.95,8,0.1,1
"79","GaussGauss","tau",1.01195835197912,0.526696401895365,1.90756790685054,TRUE,0,1827.75164677118,1,0,0.773781093925171,1,"normal",10,10,1,5000,NA,NA,4,15,0.95,8,0.1,1
"80","GaussGauss","mu",9.54453280697266,8.73247698581559,10.2957761754433,TRUE,0,1827.75164677118,1,0,0.773781093925171,1,"normal",10,10,1,5000,NA,NA,4,15,0.95,8,0.1,1
"81","DL","tau",0.507770961947192,0.283742227681756,1.45840990498449,TRUE,0,NA,NA,NA,NA,1,"normal",10,10,1,5000,NA,NA,4,15,0.95,9,0.1,1
"82","SJ","tau",0.698808086203184,0.283742227681756,1.45840990498449,TRUE,0,NA,NA,NA,NA,1,"normal",10,10,1,5000,NA,NA,4,15,0.95,9,0.1,1
"83","REML","tau",0.634985200218787,0.283742227681756,1.45840990498449,TRUE,0,NA,NA,NA,NA,1,"normal",10,10,1,5000,NA,NA,4,15,0.95,9,0.1,1
"84","PM","tau",0.631335827569794,0.283734320432855,1.45840780151088,TRUE,0,NA,NA,NA,NA,1,"normal",10,10,1,5000,NA,NA,4,15,0.95,9,0.1,1
"85","DL","mu",10.4173473979093,9.98173547640422,10.8529593194144,TRUE,0,NA,NA,NA,NA,1,"normal",10,10,1,5000,NA,NA,4,15,0.95,9,0.1,1
"86","SJ","mu",10.4471231883516,9.90280966391713,10.9914367127861,TRUE,0,NA,NA,NA,NA,1,"normal",10,10,1,5000,NA,NA,4,15,0.95,9,0.1,1
"87","REML","mu",10.4361778831146,9.92812053245263,10.9442352337766,TRUE,0,NA,NA,NA,NA,1,"normal",10,10,1,5000,NA,NA,4,15,0.95,9,0.1,1
"88","PM","mu",10.4355657346634,9.9295825047149,10.9415489646119,TRUE,0,NA,NA,NA,NA,1,"normal",10,10,1,5000,NA,NA,4,15,0.95,9,0.1,1
"89","GaussGauss","tau",0.780634990797534,0.31358218681682,1.57056217640063,TRUE,0,1899.3988132663,0,0,0.70414716821319,1,"normal",10,10,1,5000,NA,NA,4,15,0.95,9,0.1,1
"90","GaussGauss","mu",10.4620466853819,9.84018657423545,11.1416765809591,TRUE,0,1899.3988132663,0,0,0.70414716821319,1,"normal",10,10,1,5000,NA,NA,4,15,0.95,9,0.1,1
"91","DL","tau",1.157975336012,0.723783457504282,2.26111894714475,TRUE,0,NA,NA,NA,NA,1,"normal",10,10,1,5000,NA,NA,4,15,0.95,10,0.1,1
"92","SJ","tau",1.17139670746922,0.723783457504282,2.26111894714475,TRUE,0,NA,NA,NA,NA,1,"normal",10,10,1,5000,NA,NA,4,15,0.95,10,0.1,1
"93","REML","tau",1.18104835386624,0.723783457504282,2.26111894714475,TRUE,0,NA,NA,NA,NA,1,"normal",10,10,1,5000,NA,NA,4,15,0.95,10,0.1,1
"94","PM","tau",1.16570003231945,0.723781059273733,2.26111878699781,TRUE,0,NA,NA,NA,NA,1,"normal",10,10,1,5000,NA,NA,4,15,0.95,10,0.1,1
"95","DL","mu",9.64791412385745,8.86049715855589,10.435331089159,TRUE,0,NA,NA,NA,NA,1,"normal",10,10,1,5000,NA,NA,4,15,0.95,10,0.1,1
"96","SJ","mu",9.64984574539456,8.85468928436425,10.4450022064249,TRUE,0,NA,NA,NA,NA,1,"normal",10,10,1,5000,NA,NA,4,15,0.95,10,0.1,1
"97","REML","mu",9.65120568919896,8.85047850396562,10.4519328744323,TRUE,0,NA,NA,NA,NA,1,"normal",10,10,1,5000,NA,NA,4,15,0.95,10,0.1,1
"98","PM","mu",9.64903169507878,8.85716125409047,10.4409021360671,TRUE,0,NA,NA,NA,NA,1,"normal",10,10,1,5000,NA,NA,4,15,0.95,10,0.1,1
"99","GaussGauss","tau",1.37985769495677,0.767038419348545,2.46000231815764,TRUE,0,1502.18382303888,0,0,0.685536914018522,1,"normal",10,10,1,5000,NA,NA,4,15,0.95,10,0.1,1
"100","GaussGauss","mu",9.66935821383837,8.77238689783634,10.6377312473348,TRUE,0,1502.18382303888,0,0,0.685536914018522,1,"normal",10,10,1,5000,NA,NA,4,15,0.95,10,0.1,1
