,Timestamp + left,Timestamp + right,Timestamp - left,Timestamp - right,probe frequency,splitting,density + servo shift,Z2 shift,Z2 shift uncertainty
1770,1740776259.88614,1740776263.048658,1740776258.299778,1740776261.460778,-235611461.89392203,-44.73699900507927,-0.01891300580759171,-0.24571213428528493,0.00028452975042048454
1771,1740776266.221678,1740776269.379647,1740776264.631094,1740776267.797704,-235611461.9068731,-44.71916809678078,0.028991614291729504,-0.24503815000442988,0.0002837620167209238
1772,1740776272.555674,1740776275.719186,1740776270.96171,1740776274.135436,-235611461.90054524,-44.73591139912605,0.022956304450982283,-0.24570550912934147,0.00028452220372590057
1773,1740776278.896405,1740776282.066424,1740776277.301553,1740776280.473946,-235611461.8613311,-44.73697176575661,0.02433504632337987,-0.24586745662631687,0.00028470667760084926
1774,1740776285.220106,1740776288.398429,1740776283.629996,1740776286.805425,-235611461.86987936,-44.76755315065384,0.048112167552155076,-0.2456922514876875,0.0002845071019872447
1775,1740776291.564032,1740776294.71524,1740776289.965379,1740776293.137616,-235611461.82864073,-44.7717490196228,-0.03529738981562548,-0.24567129959539663,0.000284483235750985
1776,1740776297.894067,1740776301.066734,1740776296.289493,1740776299.467205,-235611461.83466876,-44.770904660224915,-0.07549545713539753,-0.2459830324891377,0.00028483832967488867
1777,1740776304.242467,1740776307.395791,1740776302.633119,1740776305.811939,-235611461.88061666,-44.77495563030243,-0.05044604267964467,-0.24565819744717218,0.00028446831113382727
1778,1740776310.573533,1740776313.735058,1740776308.967587,1740776312.139565,-235611461.92320144,-44.767106503248215,-0.004321012902210666,-0.24612308961849047,0.00028499786825333435
1779,1740776316.897401,1740776320.058173,1740776315.29671,1740776318.464011,-235611461.9174032,-44.77110058069229,0.024381833947111034,-0.24530564597884688,0.00028406672074471773
1780,1740776323.235679,1740776326.403714,1740776321.631575,1740776324.798383,-235611461.91509986,-44.779956340789795,0.040294990332620274,-0.24560714030166456,0.00028441015209265344
1781,1740776329.56463,1740776332.739418,1740776327.978898,1740776331.149509,-235611461.88473588,-44.773472517728806,-0.0025867450641876674,-0.24498902763068997,0.0002837060615323683
