#Frequency shifts file for ErYb measurement of Al+ frequency
#  Data recorded on 04-26-2024, analyzed on 04-26-2024.
#
#  All shifts are in Hz as referenced to the Al+ resonance near 267.4 nm.
#
#  To calculate the clock frequency use: f_atom = (M/N)*f_comb + f_shift.
#    - Here, M = 4, N = 1, f_comb is the frequency measured at the comb and f_shift is given in the data columns.
#    - Frequencies are not corrected for maser offsets.
#    - Data taken using maser ST008 to reference all synthesizers.
#
#  Static shifts are compiled in static_shifts_MgAl.m for reference.
#
#  First 120 seconds and last 60 seconds of lock times removed.
#
#  Gravitational redshift of the atoms with respect to geodetic marker 1H116 included.
#
#  Total lock duration: 17040.856 s
#
#  2nd-order Zeeman shifts calculated based on real-time B-field calibration.
#  - Delta_ZS2 = -0.7365+/-0.00025 Hz
#
t_mjd	f_shift[Hz]	IS_GOOD
60426.7075849	204500000.589356	1
60426.7076482	204500000.589295	1
60426.7077051	204500000.589312	1
60426.7077625	204500000.589315	1
60426.7078209	204500000.589299	1
60426.7078766	204500000.589337	1
60426.7079298	204500000.589284	1
60426.7079887	204500000.589268	1
60426.7080474	204500000.589235	1
60426.7081009	204500000.589205	1
60426.7081576	204500000.589230	1
60426.7082107	204500000.589281	1
60426.7082683	204500000.589274	1
60426.7083318	204500000.589284	1
60426.7083866	204500000.589265	1
60426.7084402	204500000.589250	1
60426.7084948	204500000.589265	1
60426.7085518	204500000.589207	1
60426.7086135	204500000.589262	1
60426.7086771	204500000.589301	1
60426.7087353	204500000.589262	1
60426.7087947	204500000.589295	1
60426.7088549	204500000.589275	1
60426.7089213	204500000.589233	1
60426.7089895	204500000.589253	1
60426.7090496	204500000.589282	1
60426.7091103	204500000.589312	1
60426.7091653	204500000.589257	1
60426.7092223	204500000.589257	1
60426.7092800	204500000.589257	1
60426.7093391	204500000.589276	1
60426.7094001	204500000.589320	1
60426.7094577	204500000.589353	1
60426.7095241	204500000.589303	1
60426.7095813	204500000.589281	1
60426.7096435	204500000.589344	1
60426.7096988	204500000.589326	1
60426.7097534	204500000.589364	1
60426.7098151	204500000.589395	1
60426.7098832	204500000.589378	1
60426.7099385	204500000.589387	1
60426.7100038	204500000.589362	1
60426.7100627	204500000.589395	1
60426.7101214	204500000.589396	1
60426.7101841	204500000.589371	1
60426.7102488	204500000.589397	1
60426.7103065	204500000.589451	1
60426.7103642	204500000.589445	1
60426.7104230	204500000.589441	1
60426.7104829	204500000.589457	1
60426.7105390	204500000.589438	1
60426.7105938	204500000.589416	1
60426.7106507	204500000.589457	1
60426.7107057	204500000.589373	1
60426.7107601	204500000.589310	1
60426.7108188	204500000.589286	1
60426.7108730	204500000.589330	1
60426.7109346	204500000.589384	1
60426.7109937	204500000.589404	1
60426.7110593	204500000.589362	1
60426.7111164	204500000.589375	1
60426.7111806	204500000.589376	1
60426.7112415	204500000.589341	1
60426.7113006	204500000.589315	1
60426.7113593	204500000.589288	1
60426.7114214	204500000.589282	1
60426.7114814	204500000.589318	1
60426.7115411	204500000.589354	1
60426.7115966	204500000.589359	1
60426.7116529	204500000.589351	1
60426.7117094	204500000.589341	1
60426.7117646	204500000.589315	1
60426.7118186	204500000.589292	1
60426.7118791	204500000.589269	1
60426.7119376	204500000.589315	1
60426.7120000	204500000.589287	1
60426.7120661	204500000.589303	1
60426.7121366	204500000.589329	1
60426.7121930	204500000.589350	1
60426.7122493	204500000.589387	1
60426.7123041	204500000.589425	1
60426.7123609	204500000.589379	1
60426.7124169	204500000.589356	1
60426.7124710	204500000.589386	1
60426.7125307	204500000.589362	1
60426.7125896	204500000.589406	1
60426.7126490	204500000.589419	1
60426.7127030	204500000.589436	1
60426.7127584	204500000.589489	1
60426.7128120	204500000.589527	1
60426.7128654	204500000.589481	1
60426.7129253	204500000.589489	1
60426.7129878	204500000.589443	1
60426.7130480	204500000.589395	1
60426.7131179	204500000.589384	1
60426.7131812	204500000.589370	1
60426.7132386	204500000.589334	1
60426.7132929	204500000.589391	1
60426.7133536	204500000.589373	1
60426.7134094	204500000.589347	1
60426.7134709	204500000.589325	1
60426.7135235	204500000.589325	1
60426.7135866	204500000.589363	1
60426.7136470	204500000.589361	1
60426.7137032	204500000.589392	1
60426.7137603	204500000.589434	1
60426.7138199	204500000.589418	1
60426.7138752	204500000.589449	1
60426.7139313	204500000.589461	1
60426.7139922	204500000.589454	1
60426.7140506	204500000.589502	1
60426.7141140	204500000.589542	1
60426.7141710	204500000.589590	1
60426.7142327	204500000.589547	1
60426.7142885	204500000.589482	1
60426.7143491	204500000.589440	1
60426.7144053	204500000.589426	1
60426.7144580	204500000.589410	1
60426.7145129	204500000.589380	1
60426.7145674	204500000.589373	1
60426.7146216	204500000.589396	1
60426.7146775	204500000.589355	1
60426.7147316	204500000.589385	1
60426.7147861	204500000.589397	1
60426.7148405	204500000.589420	1
60426.7149004	204500000.589368	1
60426.7149576	204500000.589385	1
60426.7150151	204500000.589361	1
60426.7150731	204500000.589320	1
60426.7151262	204500000.589297	1
60426.7151811	204500000.589259	1
60426.7152351	204500000.589289	1
60426.7152963	204500000.589293	1
60426.7153506	204500000.589274	1
60426.7154061	204500000.589226	1
60426.7154611	204500000.589264	1
60426.7155172	204500000.589269	1
60426.7155777	204500000.589284	1
60426.7156385	204500000.589228	1
60426.7156991	204500000.589215	1
60426.7157592	204500000.589211	1
60426.7158155	204500000.589209	1
60426.7158755	204500000.589176	1
60426.7159313	204500000.589161	1
60426.7159959	204500000.589176	1
60426.7160624	204500000.589188	1
60426.7161240	204500000.589194	1
60426.7161846	204500000.589248	1
60426.7162527	204500000.589256	1
60426.7163069	204500000.589297	1
60426.7163636	204500000.589337	1
60426.7164205	204500000.589345	1
60426.7164801	204500000.589374	1
60426.7165523	204500000.589372	1
60426.7166077	204500000.589388	1
60426.7166618	204500000.589387	1
60426.7167205	204500000.589349	1
60426.7167832	204500000.589308	1
60426.7168414	204500000.589323	1
60426.7169199	204500000.589335	1
60426.7169761	204500000.589331	1
60426.7170396	204500000.589360	1
60426.7171050	204500000.589382	1
60426.7171712	204500000.589395	1
60426.7172310	204500000.589360	1
60426.7172987	204500000.589375	1
60426.7173579	204500000.589374	1
60426.7174173	204500000.589351	1
60426.7174770	204500000.589351	1
60426.7175360	204500000.589386	1
60426.7175938	204500000.589348	1
60426.7176555	204500000.589414	1
60426.7177147	204500000.589459	1
60426.7177722	204500000.589484	1
60426.7178355	204500000.589510	1
60426.7178987	204500000.589498	1
60426.7179670	204500000.589468	1
60426.7180318	204500000.589497	1
60426.7180947	204500000.589527	1
60426.7181542	204500000.589513	1
60426.7182077	204500000.589459	1
60426.7182641	204500000.589421	1
60426.7183221	204500000.589487	1
60426.7183769	204500000.589514	1
60426.7184453	204500000.589529	1
60426.7185049	204500000.589445	1
60426.7185605	204500000.589449	1
60426.7186196	204500000.589450	1
60426.7186787	204500000.589410	1
60426.7187335	204500000.589452	1
60426.7187898	204500000.589444	1
60426.7188449	204500000.589444	1
60426.7189057	204500000.589426	1
60426.7189655	204500000.589424	1
60426.7190231	204500000.589414	1
60426.7190796	204500000.589399	1
60426.7191380	204500000.589328	1
60426.7192006	204500000.589352	1
60426.7192571	204500000.589317	1
60426.7193164	204500000.589319	1
60426.7193709	204500000.589353	1
60426.7194267	204500000.589366	1
60426.7194848	204500000.589347	1
60426.7195411	204500000.589324	1
60426.7196008	204500000.589310	1
60426.7196698	204500000.589319	1
60426.7197296	204500000.589321	1
60426.7197897	204500000.589308	1
60426.7198609	204500000.589339	1
60426.7199193	204500000.589374	1
60426.7199779	204500000.589324	1
60426.7200342	204500000.589280	1
60426.7200920	204500000.589294	1
60426.7201499	204500000.589298	1
60426.7202080	204500000.589308	1
60426.7202648	204500000.589356	1
60426.7203198	204500000.589319	1
60426.7203749	204500000.589327	1
60426.7204330	204500000.589357	1
60426.7204949	204500000.589346	1
60426.7205540	204500000.589330	1
60426.7206113	204500000.589364	1
60426.7206651	204500000.589388	1
60426.7207220	204500000.589398	1
60426.7207809	204500000.589426	1
60426.7208365	204500000.589431	1
60426.7208984	204500000.589429	1
60426.7209535	204500000.589438	1
60426.7210069	204500000.589457	1
60426.7210667	204500000.589496	1
60426.7211275	204500000.589471	1
60426.7211828	204500000.589422	1
60426.7212371	204500000.589384	1
60426.7212928	204500000.589363	1
60426.7213553	204500000.589369	1
60426.7214149	204500000.589365	1
60426.7214679	204500000.589311	1
60426.7215399	204500000.589295	1
60426.7216046	204500000.589327	1
60426.7216626	204500000.589301	1
60426.7217229	204500000.589305	1
60426.7217857	204500000.589257	1
60426.7218481	204500000.589294	1
60426.7219038	204500000.589268	1
60426.7219651	204500000.589294	1
60426.7220226	204500000.589317	1
60426.7220800	204500000.589369	1
60426.7221383	204500000.589383	1
60426.7221951	204500000.589383	1
60426.7222512	204500000.589366	1
60426.7223090	204500000.589401	1
60426.7223666	204500000.589411	1
60426.7224303	204500000.589472	1
60426.7224950	204500000.589463	1
60426.7225588	204500000.589429	1
60426.7226170	204500000.589450	1
60426.7226738	204500000.589442	1
60426.7227311	204500000.589429	1
60426.7227951	204500000.589375	1
60426.7228622	204500000.589394	1
60426.7229175	204500000.589363	1
60426.7229730	204500000.589344	1
60426.7230408	204500000.589336	1
60426.7230974	204500000.589334	1
60426.7231541	204500000.589357	1
60426.7232106	204500000.589387	1
60426.7232650	204500000.589403	1
60426.7233284	204500000.589387	1
60426.7233950	204500000.589332	1
60426.7234518	204500000.589336	1
60426.7235061	204500000.589338	1
60426.7236019	204500000.589349	1
60426.7236603	204500000.589376	1
60426.7237815	204500000.589379	1
60426.7238461	204500000.589404	1
60426.7239013	204500000.589366	1
60426.7239590	204500000.589349	1
60426.7240141	204500000.589333	1
60426.7240681	204500000.589340	1
60426.7241234	204500000.589376	1
60426.7241799	204500000.589341	1
60426.7242384	204500000.589355	1
